335419, 5233348, 0.343176605505
15444023, 17084670, 0.75
15445380, 17084670, 0.5
15449148, 17084670, 0.75
15452466, 17084670, 0.375
15452770, 17084670, 0.375
15575315, 17084670, 0.625
15608237, 17084670, 0.375
15608264, 17084670, 0.375
15635166, 17084670, 0.5
16000077, 17084670, 0.375
16006675, 17084670, 0.5
16034001, 17084670, 0.375
16151334, 17084670, 0.5
17434767, 17532810, 0.428571428571
18603802, 20914251, 0.611111111111
18603802, 26469699, 0.411764705882
18603802, 28115668, 0.555555555556
18603802, 28142579, 0.526315789474
18928733, 26389167, 0.375
20914251, 26469699, 0.666666666667
20914251, 28115668, 0.705882352941
20914251, 28142579, 0.875
20914251, 28173253, 0.4
26469699, 28115668, 0.6
26469699, 28142579, 0.666666666667
26469699, 28173253, 0.6
28115668, 28142579, 0.705882352941
28115668, 28173253, 0.333333333333
28142579, 28173253, 0.4
